板,41,2,4,0,0,0,0,44,3,0,0,0,0,0
渕,5,0,42,0,0,0,1,46,0,0,0,0,0,0
巳,0,0,3,1,0,43,0,3,0,0,0,42,2,0
児,28,1,2,0,0,16,0,30,1,0,0,16,0,0
亀,40,0,5,2,0,0,0,44,1,0,0,2,0,0
能,17,0,13,12,0,4,0,30,0,0,1,15,0,0
綾,6,0,0,35,0,5,2,4,0,0,3,35,1,1
梶,42,0,4,0,0,0,4,42,0,0,0,0,0,0
樋,45,0,0,0,0,0,0,45,0,0,0,0,0,0
町,21,0,24,0,0,0,0,44,1,0,0,0,0,0
力,3,0,3,9,0,30,0,5,1,0,28,11,0,0
郁,0,0,0,40,0,5,0,0,0,0,2,41,2,0
乃,2,0,0,5,4,34,0,2,0,0,0,35,7,1
造,1,0,1,0,0,43,0,2,0,0,0,42,1,0
梨,0,0,13,11,12,9,0,13,0,0,0,18,14,0
四,19,0,0,10,14,1,0,16,3,0,0,11,14,0
厚,1,0,0,23,0,20,0,1,0,0,16,27,0,0
都,19,7,7,2,4,5,0,26,7,0,1,5,5,0
向,28,2,13,0,0,1,0,37,6,0,0,1,0,0
宅,3,0,40,0,0,0,0,43,0,0,0,0,0,0
丈,0,0,0,29,0,14,0,0,0,0,0,42,1,0
顕,0,0,0,29,0,14,0,0,0,0,4,32,7,0
悦,0,1,0,39,0,3,0,0,1,0,0,41,1,0
末,35,0,7,1,0,0,0,42,0,0,0,1,0,0
入,37,0,5,0,0,0,0,39,3,0,0,0,0,0
櫻,41,0,0,0,0,1,0,41,0,0,1,0,0,0
桂,10,0,0,27,0,5,6,4,0,0,5,24,3,0
髙,37,0,4,1,0,0,1,40,0,0,0,1,0,0
暁,0,0,0,15,0,26,0,0,0,0,11,30,0,0
盛,6,1,9,21,0,4,2,13,1,0,0,23,2,0
壮,0,0,0,32,0,9,0,0,0,0,7,30,4,0
坪,25,0,16,0,0,0,0,41,0,0,0,0,0,0
溝,32,0,9,0,0,0,0,39,2,0,0,0,0,0
萩,39,0,2,0,0,0,1,39,1,0,0,0,0,0
京,9,0,1,28,0,3,0,10,0,0,1,27,3,0
研,0,0,0,34,0,7,0,0,0,0,7,30,4,0
蔵,6,0,4,0,0,30,1,7,2,0,1,29,0,0
勉,0,0,0,0,0,40,0,0,0,0,40,0,0,0
亨,0,0,0,3,0,37,0,0,0,0,36,4,0,0
